Scale Factor,Sequence Length,Hidden Size,Loss Vector,Accuracy
1,160,8,"[0.8027113676071167, 0.7202529907226562, 0.7026371359825134, 0.6970969438552856, 0.6950892210006714, 0.6942394971847534, 0.6938238143920898, 0.6936021447181702, 0.6934744119644165, 0.6933974027633667]",0.875
1,160,16,"[0.37043607234954834, 0.33356773853302, 0.32078811526298523, 0.3171679675579071, 0.3155885934829712, 0.3148748576641083, 0.3144391179084778, 0.31424281001091003, 0.3140283524990082, 0.3139331638813019]",0.87
1,160,32,"[1.2703473567962646, 1.3016918897628784, 1.3083678483963013, 1.308943271636963, 1.3107737302780151, 1.3116378784179688, 1.3124346733093262, 1.3118901252746582, 1.3122493028640747, 1.3112049102783203]",0.785
2,5,2,"[0.9549038410186768, 0.931638240814209, 0.9226065874099731, 0.9086771011352539, 0.8699964284896851, 0.8648250102996826, 0.8265657424926758, 0.8210259079933167, 0.7701718211174011, 0.7622500658035278]",0.84
2,5,4,"[0.9465314149856567, 0.9332880973815918, 1.027841329574585, 1.1071422100067139, 1.1581922769546509, 1.223838210105896, 1.2528228759765625, 1.2779076099395752, 1.2789396047592163, 1.2798317670822144]",0.895
2,5,8,"[0.7173705697059631, 0.6975732445716858, 0.6947129964828491, 0.6938875317573547, 0.6935301423072815, 0.6933605670928955, 0.6932698488235474, 0.6932213306427002, 0.6931946873664856, 0.6931757926940918]",0.95
2,5,16,"[0.7233383059501648, 0.7015928626060486, 0.6975833773612976, 0.6950362920761108, 0.6943349242210388, 0.6938087940216064, 0.6935792565345764, 0.6934210062026978, 0.6933120489120483, 0.693260908126831]",0.945
2,5,32,"[0.6992679238319397, 0.6947609782218933, 0.6942163109779358, 0.6934794187545776, 0.6937028169631958, 0.6932722926139832, 0.6932440996170044, 0.6931938529014587, 0.6931838393211365, 0.6931707262992859]",0.93
2,10,2,"[0.8723759651184082, 0.8689090609550476, 0.8723146915435791, 0.9020447731018066, 0.8805279731750488, 0.9625047445297241, 0.9966044425964355, 0.8164592981338501, 0.9811584949493408, 0.8786435127258301]",0.875
2,10,4,"[0.5796902179718018, 0.5909355878829956, 0.5878086090087891, 0.593991219997406, 0.5429233312606812, 0.5133664608001709, 0.4334752857685089, 0.43080052733421326, 0.32180365920066833, 0.33894675970077515]",0.905
2,10,8,"[1.1072514057159424, 1.135474681854248, 1.2325589656829834, 1.2560076713562012, 1.2624995708465576, 1.283872365951538, 1.2799863815307617, 1.2932238578796387, 1.2874749898910522, 1.3038671016693115]",0.935
2,10,16,"[0.4066280722618103, 0.36224815249443054, 0.3165353536605835, 0.3148379623889923, 0.314095139503479, 0.31384703516960144, 0.31360939145088196, 0.31346434354782104, 0.3133998513221741, 0.31335175037384033]",0.96
2,10,32,"[0.6983430981636047, 0.6937148571014404, 0.6952727437019348, 0.6932231783866882, 0.6931852698326111, 0.6931685209274292, 0.6931595206260681, 0.69315505027771, 0.6931512355804443, 0.693149983882904]",0.925
2,20,2,"[0.807439386844635, 0.788996696472168, 0.7753013372421265, 0.7647784352302551, 0.7564707398414612, 0.7497771382331848, 0.7442769408226013, 0.7396913766860962, 0.7358155250549316, 0.7325048446655273]",0.505
2,20,4,"[0.8019365668296814, 0.7965880632400513, 0.9620034694671631, 1.015998363494873, 1.0400344133377075, 1.0456005334854126, 1.0569396018981934, 1.0509977340698242, 1.0392146110534668, 0.9336349964141846]",0.61
2,20,8,"[0.848587155342102, 0.8266057372093201, 0.8087936639785767, 0.7758877873420715, 0.7547170519828796, 0.762867271900177, 0.7390859723091125, 0.7525374889373779, 0.72300785779953, 0.7222577929496765]",0.63
2,20,16,"[0.7533397674560547, 0.7322405576705933, 0.7885823249816895, 0.7517739534378052, 0.7216012477874756, 0.69806307554245, 0.6987613439559937, 0.7522587776184082, 0.7144400477409363, 0.711798906326294]",0.56
2,20,32,"[0.6700900793075562, 0.36497193574905396, 0.6860883831977844, 0.686258852481842, 0.6862324476242065, 0.6802475452423096, 0.6862906217575073, 0.6811777949333191, 0.37081870436668396, 0.3181961178779602]",0.785
2,40,2,"[0.6061568856239319, 0.6225135326385498, 0.6343791484832764, 0.6433982253074646, 0.6504982113838196, 0.6562190651893616, 0.6609108448028564, 0.664726972579956, 0.6664577722549438, 0.6649683117866516]",0.43
2,40,4,"[0.4815976619720459, 0.42912840843200684, 0.3964173197746277, 0.3732733130455017, 0.356005996465683, 0.34370583295822144, 0.33741438388824463, 0.3320630192756653, 0.33017614483833313, 0.3290153741836548]",0.85
2,40,8,"[1.0157256126403809, 0.9828221797943115, 0.9527597427368164, 0.9231514930725098, 0.8701610565185547, 0.8175582885742188, 0.7812591791152954, 0.7449520230293274, 0.7267566919326782, 0.7264142632484436]",0.835
2,40,16,"[0.7427834868431091, 0.6993821263313293, 0.6951061487197876, 0.6940251588821411, 0.6935983300209045, 0.6933914422988892, 0.6933475732803345, 0.693324089050293, 0.6932213306427002, 0.6932207345962524]",0.835
2,40,32,"[0.9034605622291565, 0.7074185609817505, 0.7013564109802246, 0.6992189288139343, 0.7015032768249512, 0.6962751150131226, 0.7040751576423645, 0.6964879631996155, 0.6942700743675232, 0.6984621286392212]",0.895
2,80,2,"[0.9970689415931702, 1.0405497550964355, 1.0262447595596313, 1.0204837322235107, 1.0299923419952393, 1.0510858297348022, 1.0739738941192627, 1.0930211544036865, 1.1084942817687988, 1.127732753753662]",0.87
2,80,4,"[0.42217251658439636, 0.3664623498916626, 0.3383687436580658, 0.3275776505470276, 0.32239624857902527, 0.31950050592422485, 0.31783971190452576, 0.31679919362068176, 0.3161705434322357, 0.31568416953086853]",0.9
2,80,8,"[0.41610801219940186, 0.3375137448310852, 0.3263731598854065, 0.3215419054031372, 0.31821301579475403, 0.3164215683937073, 0.31545713543891907, 0.3149290680885315, 0.31466150283813477, 0.3145744800567627]",0.85
2,80,16,"[0.737777054309845, 0.7127646207809448, 0.7052692770957947, 0.7027684450149536, 0.7014133334159851, 0.6990119814872742, 0.6954483985900879, 0.6945415139198303, 0.6942599415779114, 0.6938668489456177]",0.87
2,80,32,"[0.3362841010093689, 0.3212709128856659, 0.3170476257801056, 0.3223186731338501, 0.31460562348365784, 0.31436148285865784, 0.3148386776447296, 0.3149082064628601, 0.31455427408218384, 0.31451040506362915]",0.83
2,160,2,"[0.849686324596405, 0.7621340751647949, 0.7248379588127136, 0.7099723815917969, 0.7032357454299927, 0.6996880173683167, 0.6976271867752075, 0.6963889598846436, 0.6955887079238892, 0.6950657367706299]",0.845
2,160,4,"[0.8326544761657715, 0.7701563835144043, 0.7411102652549744, 0.7265759706497192, 0.7178753018379211, 0.711950421333313, 0.7079010605812073, 0.7050741314888, 0.7030020952224731, 0.7014604806900024]",0.865
2,160,8,"[0.7341763377189636, 0.7039163112640381, 0.6973000764846802, 0.6952420473098755, 0.694389283657074, 0.6939629316329956, 0.6937225461006165, 0.6935805678367615, 0.6934880018234253, 0.6934263110160828]",0.85
2,160,16,"[0.33546310663223267, 0.32214292883872986, 0.3176782727241516, 0.315780907869339, 0.31479430198669434, 0.31426823139190674, 0.31400230526924133, 0.3138657510280609, 0.31385302543640137, 0.3137206435203552]",0.87
2,160,32,"[0.5665067434310913, 0.40697380900382996, 0.3649009168148041, 0.33733654022216797, 0.3255053460597992, 0.32060471177101135, 0.32594695687294006, 0.32189419865608215, 0.3228793740272522, 0.3178131878376007]",0.855
3,5,2,"[0.8944633603096008, 0.8884789943695068, 0.8833695650100708, 0.8545933365821838, 0.8208655714988708, 0.7542530298233032, 0.7266854643821716, 0.7229229807853699, 0.720256507396698, 0.7091870903968811]",0.885
3,5,4,"[0.41667118668556213, 0.34954833984375, 0.3324390649795532, 0.32562902569770813, 0.32149946689605713, 0.3186739981174469, 0.31689298152923584, 0.31677019596099854, 0.31679069995880127, 0.31510472297668457]",0.925
3,5,8,"[0.3951411545276642, 0.3331211805343628, 0.3204803168773651, 0.31669437885284424, 0.3153916597366333, 0.31464895606040955, 0.3140747547149658, 0.31387820839881897, 0.3136777877807617, 0.31355249881744385]",0.905
3,5,16,"[0.32115495204925537, 0.3153381645679474, 0.31442928314208984, 0.313909649848938, 0.31349343061447144, 0.313421368598938, 0.31336089968681335, 0.31332927942276, 0.3133130669593811, 0.31340491771698]",0.915
3,5,32,"[0.7051759362220764, 0.6970250606536865, 0.6949410438537598, 0.6941128373146057, 0.6936719417572021, 0.6935704350471497, 0.6933798789978027, 0.693291425704956, 0.6932387948036194, 0.6932052969932556]",0.885
3,10,2,"[0.9681789875030518, 0.8147159814834595, 0.7565712332725525, 0.7342739701271057, 0.7227907180786133, 0.7147639393806458, 0.7701226472854614, 0.7056046724319458, 0.7029390931129456, 0.8250598907470703]",0.8
3,10,4,"[0.9783028364181519, 0.8053426742553711, 0.7572934627532959, 0.7230367064476013, 0.7092583179473877, 0.7022854685783386, 0.699167013168335, 0.696158230304718, 0.695232629776001, 0.6945352554321289]",0.94
3,10,8,"[0.34813255071640015, 0.3348860740661621, 0.3236396014690399, 0.31838351488113403, 0.31622225046157837, 0.3161511719226837, 0.3146270215511322, 0.31435632705688477, 0.31392958760261536, 0.31379538774490356]",0.945
3,10,16,"[0.8297485709190369, 0.7436067461967468, 0.7146504521369934, 0.7103219032287598, 0.7085778713226318, 0.703514039516449, 0.6972522735595703, 0.6952415704727173, 0.6941397190093994, 0.6950318217277527]",0.935
3,10,32,"[0.6960334181785583, 0.693648099899292, 0.6932926177978516, 0.6932145357131958, 0.6931772232055664, 0.6931797862052917, 0.6931591033935547, 0.6931518316268921, 0.6931498646736145, 0.6931488513946533]",0.945
3,20,2,"[0.9078813791275024, 0.8676977157592773, 0.843414306640625, 0.817994236946106, 0.7774979472160339, 0.7501981854438782, 0.7379984259605408, 0.7433470487594604, 0.7391647100448608, 0.7303159832954407]",0.605
3,20,4,"[0.9840370416641235, 0.8350061178207397, 0.7498457431793213, 0.7319447994232178, 1.052445411682129, 0.7152583003044128, 1.0674211978912354, 0.7140057682991028, 0.7233462929725647, 0.7223069667816162]",0.66
3,20,8,"[0.5001379251480103, 0.611800491809845, 0.6345429420471191, 0.6425053477287292, 0.6482269763946533, 0.6382619142532349, 0.6470261812210083, 0.658281683921814, 0.663328230381012, 0.6598113179206848]",0.485
3,20,16,"[0.8425979614257812, 0.768086850643158, 0.7477297782897949, 0.7283085584640503, 0.72287917137146, 0.7283799052238464, 0.700013279914856, 0.6976672410964966, 0.6950657963752747, 0.6945524215698242]",0.795
3,20,32,"[1.0667113065719604, 0.7261344194412231, 0.7422195672988892, 0.6988341808319092, 0.6964688897132874, 0.6971133947372437, 0.6999824047088623, 0.7150322198867798, 0.700962245464325, 0.6957562565803528]",0.805
3,40,2,"[0.5847964882850647, 0.6034648418426514, 0.6178504228591919, 0.6275297999382019, 0.636343240737915, 0.6422500014305115, 0.6476180553436279, 0.6509109735488892, 0.6536195278167725, 0.658232569694519]",0.495
3,40,4,"[0.8483449220657349, 0.8953890800476074, 0.7605853080749512, 0.7416978478431702, 0.7359939217567444, 0.7254601716995239, 0.7124380469322205, 0.7072367072105408, 0.7039049863815308, 0.7018962502479553]",0.835
3,40,8,"[0.8609976172447205, 0.7176880240440369, 0.702052891254425, 0.6977008581161499, 0.6958584189414978, 0.694952666759491, 0.6944664716720581, 0.6941276788711548, 0.6938697695732117, 0.6937282085418701]",0.865
3,40,16,"[0.7235044836997986, 0.7012348771095276, 0.6963902711868286, 0.6946051120758057, 0.6938759684562683, 0.6935046315193176, 0.6933462023735046, 0.6932699084281921, 0.6932733058929443, 0.6932671070098877]",0.84
3,40,32,"[0.9874438643455505, 0.8626325130462646, 1.0429158210754395, 1.0249429941177368, 0.9110298156738281, 0.8405465483665466, 0.765540361404419, 1.009299635887146, 1.0515910387039185, 0.947391927242279]",0.865
3,80,2,"[0.3897556662559509, 0.3713875412940979, 0.3574672341346741, 0.3476574122905731, 0.34074321389198303, 0.3352353274822235, 0.33079180121421814, 0.32720947265625, 0.3243253827095032, 0.32209697365760803]",0.795
3,80,4,"[0.5128234028816223, 0.4928532838821411, 0.4107837378978729, 0.35263651609420776, 0.3380924165248871, 0.33056408166885376, 0.32686856389045715, 0.32545599341392517, 0.3241020441055298, 0.3233838379383087]",0.905
3,80,8,"[0.9191166162490845, 0.8417342305183411, 0.8060989379882812, 0.7699331045150757, 0.7321134805679321, 0.7145040035247803, 0.7116931676864624, 0.7050507068634033, 0.6983280181884766, 0.6968194246292114]",0.835
3,80,16,"[0.5507534742355347, 0.40584078431129456, 0.34505024552345276, 0.3398141860961914, 0.3273383677005768, 0.324586421251297, 0.3180118203163147, 0.319063276052475, 0.31543678045272827, 0.31470048427581787]",0.855
3,80,32,"[0.5962353944778442, 0.3928530514240265, 0.6890606880187988, 0.6893444657325745, 0.6865785121917725, 0.43921610713005066, 0.3465277850627899, 0.32772696018218994, 0.3246515691280365, 0.31788524985313416]",0.885
3,160,2,"[0.41420647501945496, 0.3852887749671936, 0.36672499775886536, 0.3475598394870758, 0.3349679410457611, 0.32781490683555603, 0.32350030541419983, 0.32079043984413147, 0.3190321922302246, 0.3178481459617615]",0.825
3,160,4,"[0.4526083469390869, 0.43160170316696167, 0.401010125875473, 0.37631505727767944, 0.34795066714286804, 0.3347647786140442, 0.3270392119884491, 0.31852489709854126, 0.31733471155166626, 0.3163768947124481]",0.84
3,160,8,"[0.46395143866539, 0.4203658103942871, 0.42575496435165405, 0.39834296703338623, 0.3745720088481903, 0.3526044189929962, 0.335404634475708, 0.32295289635658264, 0.32167601585388184, 0.3201353847980499]",0.835
3,160,16,"[0.40524938702583313, 0.5427794456481934, 0.4020460546016693, 0.3726716935634613, 0.3511538803577423, 0.34011414647102356, 0.32748788595199585, 0.3214550316333771, 0.3288349509239197, 0.31991273164749146]",0.87
3,160,32,"[0.9488288164138794, 0.9719725847244263, 0.9551957845687866, 0.8973918557167053, 0.8743642568588257, 0.8638324737548828, 0.890896201133728, 0.8915250897407532, 0.9473150372505188, 1.0141777992248535]",0.875
4,5,2,"[0.8658114075660706, 0.8639805316925049, 0.8673257231712341, 0.8850264549255371, 0.854640781879425, 0.9015418291091919, 0.9146447777748108, 0.939743161201477, 0.8611687421798706, 0.7664321064949036]",0.9
4,5,4,"[0.4941682815551758, 0.44162192940711975, 0.3871394693851471, 0.3451315462589264, 0.33167847990989685, 0.3249357044696808, 0.3207792043685913, 0.3181876242160797, 0.31679216027259827, 0.31568849086761475]",0.925
4,5,8,"[0.42276665568351746, 0.3459297716617584, 0.3205011785030365, 0.31691303849220276, 0.3152918219566345, 0.31434518098831177, 0.3139815032482147, 0.31382012367248535, 0.3135986924171448, 0.31350407004356384]",0.885
4,5,16,"[0.7482609748840332, 0.7252449989318848, 0.6998388767242432, 0.7002512812614441, 0.7001835107803345, 0.7006961703300476, 0.6950238943099976, 0.6940656304359436, 0.6934688687324524, 0.6933265924453735]",0.925
4,5,32,"[0.7094321846961975, 0.6960214972496033, 0.694019615650177, 0.693982720375061, 0.69339919090271, 0.6934125423431396, 0.6932607889175415, 0.6932214498519897, 0.6932013630867004, 0.6932020783424377]",0.915
4,10,2,"[0.9120123386383057, 0.8643050193786621, 0.8479042053222656, 0.83704674243927, 0.8261395692825317, 0.8123444318771362, 0.8007363677024841, 0.7875726222991943, 0.7757756114006042, 0.7659705281257629]",0.54
4,10,4,"[0.8812528848648071, 0.8414178490638733, 0.8102458119392395, 0.7765194177627563, 0.7595099210739136, 0.7526503801345825, 0.7508748769760132, 1.140779972076416, 0.7510846257209778, 0.7335732579231262]",0.84
4,10,8,"[0.46448206901550293, 0.41398492455482483, 0.3494493365287781, 0.3265409469604492, 0.3199453055858612, 0.31760373711586, 0.3161720335483551, 0.3152129352092743, 0.3145817816257477, 0.3141973614692688]",0.915
4,10,16,"[0.8504029512405396, 0.7344641089439392, 0.7068151235580444, 0.6985740661621094, 0.6979178786277771, 0.6965013742446899, 0.6961256265640259, 0.6946603655815125, 0.6939709782600403, 0.6938278675079346]",0.93
4,10,32,"[0.3208601474761963, 0.3152092695236206, 0.6911308765411377, 0.6839314699172974, 0.37155479192733765, 0.32237276434898376, 0.3176514506340027, 0.3149155080318451, 0.3146543502807617, 0.3142290711402893]",0.935
4,20,2,"[0.4675983190536499, 0.4860888719558716, 0.5047667026519775, 0.5257447957992554, 0.5423992872238159, 0.5296921730041504, 0.5165209770202637, 0.5069785118103027, 0.49695032835006714, 0.4911716878414154]",0.565
4,20,4,"[0.5023443698883057, 0.5298482179641724, 0.5328788161277771, 0.5771762728691101, 0.6056585311889648, 0.6241115927696228, 0.6320396661758423, 0.6379392743110657, 0.6444727778434753, 0.6482433676719666]",0.56
4,20,8,"[0.5679440498352051, 0.43126028776168823, 0.42676877975463867, 0.39084914326667786, 0.3835340142250061, 0.368634968996048, 0.6623591184616089, 0.6278088092803955, 0.4731421172618866, 0.4060590863227844]",0.79
4,20,16,"[0.5257691740989685, 0.5207050442695618, 0.4395327866077423, 0.4008546769618988, 0.39616653323173523, 0.3670862913131714, 0.6897582411766052, 0.6869263648986816, 0.6865043640136719, 0.6865745782852173]",0.525
4,20,32,"[0.39612504839897156, 0.4781636595726013, 0.6798234581947327, 0.6821260452270508, 0.6847724318504333, 0.6868190765380859, 0.6884119510650635, 0.6896376013755798, 0.6904679536819458, 0.691123902797699]",0.515
4,40,2,"[0.5641288757324219, 0.5829206109046936, 0.5982993841171265, 0.6104344129562378, 0.6197686791419983, 0.6267532706260681, 0.6317147016525269, 0.6339548826217651, 0.6173879504203796, 0.4081804156303406]",0.855
4,40,4,"[0.5368839502334595, 0.5775222778320312, 0.4464605748653412, 0.3738359212875366, 0.35436683893203735, 0.3383563458919525, 0.32952025532722473, 0.3267771601676941, 0.3225131630897522, 0.3241552412509918]",0.895
4,40,8,"[0.8736258745193481, 0.7813812494277954, 0.7259633541107178, 0.7101803421974182, 0.7043375372886658, 0.7010898590087891, 0.6990645527839661, 0.6979246735572815, 0.6977949738502502, 0.6968645453453064]",0.89
4,40,16,"[0.5758820176124573, 0.48399239778518677, 0.5174875855445862, 0.5180047750473022, 0.4779135584831238, 0.41054868698120117, 0.36987581849098206, 0.35215893387794495, 0.33701029419898987, 0.33088335394859314]",0.835
4,40,32,"[0.8388223052024841, 0.8214507102966309, 0.7760563492774963, 0.916719913482666, 0.6975679397583008, 0.761389434337616, 0.7194128036499023, 0.702609121799469, 0.7142866253852844, 0.7141168713569641]",0.815
4,80,2,"[0.4582611918449402, 0.4738416075706482, 0.4218918979167938, 0.39372187852859497, 0.3758726119995117, 0.36282479763031006, 0.3507535457611084, 0.34273624420166016, 0.33787816762924194, 0.3344529867172241]",0.875
4,80,4,"[0.9390660524368286, 0.889306902885437, 0.7554839253425598, 0.7397972941398621, 0.7324257493019104, 0.7362690567970276, 0.744617223739624, 0.7361475825309753, 0.7328425049781799, 0.7274713516235352]",0.83
4,80,8,"[0.7147966623306274, 0.6998876333236694, 0.6962950825691223, 0.6949297189712524, 0.6942643523216248, 0.693903923034668, 0.6936955451965332, 0.6935425400733948, 0.6934415102005005, 0.6933660507202148]",0.86
4,80,16,"[0.9626789093017578, 0.9490943551063538, 0.9153199195861816, 0.828697919845581, 0.7879140377044678, 0.7845001220703125, 0.7721906900405884, 0.7602595090866089, 0.7490811347961426, 0.7271348237991333]",0.865
4,80,32,"[0.8132433295249939, 0.7540188431739807, 0.7613500356674194, 0.8024771213531494, 0.7114235162734985, 0.7006986141204834, 0.696297824382782, 0.6949712038040161, 0.6948326826095581, 0.6943304538726807]",0.875
4,160,2,"[0.847906231880188, 0.8279028534889221, 0.7884844541549683, 0.7398619055747986, 0.7227211594581604, 0.7152920365333557, 0.7106893062591553, 0.7076109647750854, 0.705435574054718, 0.7038648128509521]",0.865
4,160,4,"[0.42076176404953003, 0.42986825108528137, 0.3771269917488098, 0.357314795255661, 0.34541916847229004, 0.33336156606674194, 0.3265422582626343, 0.32253655791282654, 0.31986504793167114, 0.31806063652038574]",0.84
4,160,8,"[0.9691888689994812, 0.825732409954071, 0.7873202562332153, 0.7656838297843933, 0.7526811957359314, 0.7430052161216736, 0.735213577747345, 0.736846387386322, 0.7509077191352844, 0.7407692670822144]",0.52
4,160,16,"[0.504881739616394, 0.5751477479934692, 0.5050345659255981, 0.5010859966278076, 0.5524914264678955, 0.5758519768714905, 0.5813670754432678, 0.6278290152549744, 0.6205847859382629, 0.5947239995002747]",0.51
4,160,32,"[1.034109115600586, 0.8606011867523193, 0.7737575173377991, 0.8389217257499695, 0.8207281827926636, 0.8251396417617798, 0.7604221105575562, 0.7855858206748962, 0.7370706796646118, 0.8685857057571411]",0.755
5,5,2,"[0.9126198291778564, 0.8553785085678101, 0.8032046556472778, 0.7763047218322754, 0.7571892142295837, 0.7434868216514587, 0.73335862159729, 0.7257671356201172, 0.7200843691825867, 0.7155573964118958]",0.78
5,5,4,"[0.842261552810669, 0.8278268575668335, 0.7918440103530884, 0.7613791823387146, 0.7288999557495117, 0.7334669232368469, 0.7200948596000671, 0.7094361782073975, 0.7102097272872925, 0.7065705060958862]",0.675
5,5,8,"[0.7419208884239197, 0.7081676721572876, 0.6985576152801514, 0.6955258250236511, 0.6943817138671875, 0.6938221454620361, 0.6935508251190186, 0.6933904886245728, 0.6932963132858276, 0.693240761756897]",0.96
5,5,16,"[0.3401798903942108, 0.3234594166278839, 0.317582368850708, 0.31528425216674805, 0.31442779302597046, 0.3139631152153015, 0.3137206435203552, 0.3135526776313782, 0.31344160437583923, 0.31338444352149963]",0.92
5,5,32,"[0.31757310032844543, 0.31420642137527466, 0.3135952055454254, 0.31345126032829285, 0.31334879994392395, 0.3133426010608673, 0.3133125305175781, 0.3132898807525635, 0.3132794201374054, 0.3262685537338257]",0.89
